,PRT,ADV,X,ADP,VERB,ADJ,NOUN,PRON,CONJ,NUM,.,DET
PRT,44773,1202,47,5879,1262,303,1826,178,78,334,17,292
ADV,2457,75781,28,5041,7745,8274,7736,946,707,342,1,2334
X,7,1,47,0,0,0,31,1,0,3,1,0
ADP,7455,5592,55,261981,3602,2255,3208,1319,863,379,42,3717
VERB,1143,10120,198,4716,314024,11281,27073,795,223,237,28,804
ADJ,441,6907,169,1368,9193,101632,22640,30,77,719,2,1137
NOUN,1397,8306,1995,2899,26065,40252,482687,1000,363,2732,36,1818
PRON,1069,2067,20,1662,1733,118,1116,91652,80,29,64,2908
CONJ,66,335,15,772,359,196,317,8,73447,25,24,226
NUM,40,125,30,310,148,489,1948,6,19,23481,22,171
.,71,40,116,366,137,8,478,110,307,796,294881,32
DET,739,2002,52,4538,1232,2634,2056,2623,138,671,12,260599
