,DET,NOUN,PRT,ADV,NUM,ADJ,VERB,X,CONJ,.,PRON,ADP
DET,540769,1021,80,762,48,152,664,94,426,314,1192,1506
NOUN,8,1078810,535,551,1050,4357,18055,197,2,0,69,197
PRT,0,147,109406,2880,0,763,55,4,0,0,15,6642
ADV,422,644,1072,204798,0,9287,456,12,491,0,12,7651
NUM,8,1588,0,0,58396,16,0,0,0,0,0,4
ADJ,0,9389,125,8569,0,318713,1647,4,0,0,0,310
VERB,0,9881,149,118,0,1399,709362,83,0,0,0,400
X,10,376,10,0,2,16,21,4985,30,133,0,14
CONJ,119,4,0,345,0,0,0,8,151595,0,0,571
.,0,4,0,0,0,0,0,76,0,589813,0,80
PRON,4087,61,21,23,0,0,0,20,0,0,194547,1176
ADP,2653,307,7918,6910,0,181,740,61,60,0,1501,560513
